Dec 12,Azharry #pakemasker,#BoikotJNE   gw dah lama pake si merah botak mualaf. jne di tempatku lelet kayak keong
Dec 12,Nurekkk,Paket ku nyasar ke daerah dong kata mbak JNE nya gimana dong? Mana sudah ku bayar tuh barang #BoikotJNE
Dec 12,Anus Boss Edan,#BoikotJNE #BoikotJNE #BoikotJNE #BoikotJNE #BoikotJNE #BoikotJNE #BoikotJNE #BoikotJNE #BoikotJNE #BoikotJNE
Dec 12,Pemandu Hidupmu,"Dalam kasus #BoikotJNE ini ibarat sebaik-baiknya seseorang dalam memberi manfaat di lingkungannya namun karena dia ""berteman"" dengan orang yang kurang disukai oleh beberapa orang maka si perusahaan akan ikut gak disukai juga.   Pokoknya hati-hati deh sama ibu-ibu komplek!"
Dec 12,bambang duta,#BoikotJNE
Dec 12,waluhpakasam,#PanggilPaksaRiziq #BoikotJNE
Dec 12,Anus Boss Edan,#BoikotJNE #BoikotJNE #BoikotJNE #BoikotJNE #BoikotJNE #BoikotJNE #BoikotJNE #BoikotJNE #BoikotJNE #BoikotJNE
Dec 12,EH Sambernyowo,Iya...kok pada teriak #BoikotJNE sih..............
Dec 12,pecandu pagi,#BoikotJNE #JNEKadrun #BoikotJNE #JNEKadrun #BoikotJNE #JNEKadrun
Dec 12,Ikhsan santoso,OMG   Masih tranding #BoikotJNE
Dec 12,𝕬𝖓𝖉𝖗𝖊𝖆𝖘 𝕬𝖉𝖞,Kawal #BoikotJNE
Dec 12,Jahilmethakil,#BoikotJNE
Dec 12,Ysf Irianto,#BoikotJNE pindah aja yang jelas punya NKRI @PosIndonesia
Dec 12,cremiko,Dangkal amat otak lo bong takut ya kwkwkwk #BoikotJNE
Dec 12,Wenwen.Unikk,@JNE_ID oh...ini yg lagi rame to Aku sebagai penjual shopee  tokped  bukalapak Ikut #BoikotJNE  deh....
Dec 12,JP,Lanjutkan #BoikotJNE #BoikotJNE #BoikotJNE
Dec 12,Semiaji,#BoikotJNE  JNE Kadrun Group.
Dec 12,mecari ke ridohanya,#BoikotJNE waduh kirain hanaya mengudang ustadz saja  tapi pernah berbicara seperti ini   JNE harus berhati 2 warga NU bangser di seluruh indonesia pasti marah klu begini
Dec 12,Ordinary_People,#BoikotJNE ??? #JNEKadrun ??? Lebay amat..  Saya tetap JNE. Barakallah JNE  sukses terus   Semoga Allah berkahi usaha JNE  Allah berkahi pak Djohari Zein dan seluruh pegawainya. Aamiin..
Dec 12,linkaputri_,BandarQ modal receh | menang santai 2 juta main 5 menit  !! https://youtu.be/tEVxyorxWHI via @YouTube #gemparQ #situsjudi #pokerv #situsjudionline #agenjuditerpercaya #situsjudi24jam #Hinata #BoikotJNE #sayamautobat Gajah Mada #Shopee1212 #JNEKadrun #SEUNGRI
Dec 12,Comedian,Sekelas cebong baru bisa bikin bangkrut tukang bakso aja tuh pas kampanye duLu ngimpi aja mereka klo mau bikin  bangkrut usaha ekspedisi  pake hastag #BoikotJNE  emang otak sekecil mereka bisa buat bisnis.. 
Dec 12,waluhpakasam,#BoikotJNE
